uid	name	describe
01c7020c78a13fb2a08ae483d9e28fe2	金晶科技平弯玻璃	""
0228c4ec69684ffca97e692a3ba1f8f9	冰片	""
0296efaf4b1d5462447e9943d8e9681a	电脑学习机系列	""
044350d564df8ba6129d1c9892d279cf	华夏自助卡	""
0777201a89ed427928e472ce5ebf6516	钛及钛合金精密铸造件	""
07d426d95fdd22fbc7276aa0003e4584	置信电气非晶合金干式变压器	""
0930ea4fd9a2137fadc3faac8a5ceded	普洛双氢苯甘氨酸	""
0d713db041c02683a4465b507b63c211	北海国发净土灵系列农药	""
0f2f303d47084bcebf0f694fd52eb51a	“卡奴迪路”裘皮	""
10b494c1aa18b86f33c818bde35e5df1	上海陆家嘴宝安大厦	""
115d1b4268be8abde54fbc634ff53760	科达大理石排锯	""
11e32219c436a7a5a870dd665d7fb246	氨苄西林胶囊	""
133d9dbaaa0659fc2231cb2858e1c172	浪潮台式电脑	""
145f37161027e6ed4352a94cea7e98a1	中国玻纤膨体纱	""
15618192471c1cce11ecc311d5603f08	全聚德连锁店	""
158516578c37509d81ea0ff2cd8ad70a	ZL-480公路桥梁伸缩装置	""
163de87ded5d2710f88697171c5de391	GWS3系列户外高压隔离开关	""
1676af76aa3b3d8de4780408ee7255af	晨光直升机加油车	""
16ab1fa61805ce96a5824761ad8dde7c	证卡身份认证终端	""
16dc6c0516352b38e7e44e42a5833279	棉花产品系列-荃银棉2号	""
17443562563f41907a437f57a64980aa	依诺肝素钠注射液	""
17dbf27d4fd395bb49b7c4fcc2d48965	福成活牛养殖	""
191c1de0b524068813eba62297bc5611	白银	""
1a33fd693089940c0cc17e2272f6d3af	久立无缝钢管	""
1af7d9f1778be4a56afade5f26424c3c	伺服驱动器	""
1b44adc8cf1349847d65b8771da8a434	方向盘总成	""
1b86b04c2dc540b872e9a8006ec9a7d2	气动球阀	""
1c6685f0d8b9524f6211b4fdd2ba04f1	文昌森海湾	""
1c6d4f960c2955e8e1389edbc0672dd0	私募股权	""
1e9e3adf49afe2a7357e483e39d907f3	出口及国内商用空调前面板	""
1f15f0bbe653c103113029c658939e77	2%生物素	""
2008fe4da37757ce33f0add4ce746676	4YZB-1800型自走式玉米联合收获机	""
214b67e949939176048762aec388b5d5	百利无飞弧低压断路器	""
23cb9a158389c02e791daeafd148a92c	鲁阳陶瓷纤维纸	""
2440da5f3b4accdbafabc4b744f61343	配网自动化软件	""
25fe5b12c741b53a8f99bb850666ae80	正邦水产饲料	""
262618a5319ed2a41ed23af92b90f330	三元巴氏袋装鲜奶	""
2840c4a4dbe508039cb4dff7a2ca6334	注射用胸腺五肽	""
2866a42c93bff57d537c420d492a4891	0.6 1KW 1.8 3KV交联聚乙烯绝缘电力电缆	""
292c128aa7e9dc0dfb8e59a83776692e	中水华仪调兵山市风电工程塔架	""
2939791bc1115d25fea09a35f1359d88	可控硅	""
2a96c60185d1fd2094eaf0a9fa9d6827	牛肉丸	""
2abdfc25e0abaacbbd02541721eec7c0	锦纶6DTY	""
2d42e6f4a709fcd565570aabe0f1a60b	八一螺纹钢	""
2d4a343d51798e8de506647e1785bb1f	恒生客户服务中心系统	""
2f2ec7d2d97d3c592e9d07ade7cd6a11	端含氢硅油	""
2f694a90b298cbf168c535927f7943b7	咸肉	""
3021139599b7ac12c557d122e86b9797	饲料级磷酸二氢钙	""
307aac6c39ac103a58ed2a3ab3844165	BAT1706	""
3158cf61a2a8bfe9f021500c87474ee0	肿瘤常规个体化用药基因检测	""
31cb836489d5be1035a149ae050e8a65	华海药业利培酮片	""
33322026535d4d704970029c0c4a4a6f	集控及其他配套设备	""
34976c22156441b52f2577066e30696c	供应链管理软件	""
3510ee6438a36c4eba691e53cc6746e2	550m3/h（氮）设备	""
366370d01630cc4bd8a7d5fb426893ef	电热类	""
36e4de921262e3116a661d7f670960c0	异型钢丝	""
39e5d55dab05a6a0339ae8b1b304da78	激光检测	""
3adb59e33ee5ec78f714e60c9d8f5ba7	北京九都汇项目	""
3b561c4ffbabf7d12620cc60c80dd5f4	汽车融资租赁	""
3ba705d67d7d375d6b817648c27ba78c	东光电动外后视镜	""
3c8adb4f97aac2c61cd82b78163698ec	钱江生化硫酸粘杆菌素	""
3ca548b163e3ca644ed06d8957864fc3	休闲裤	""
3cc3adac20c95cd0e5c0be326b4f0274	宝光高压电器配件产品	""
3e37d1b71633e1962d19051a3ef3f87b	七氟烷	""
3ec63452569897339da1181cb170f9c4	太极浸胶聚酯V带帘子布	""
3f408293ee1ff2b14d887f869901906b	PP管道	""
4055c28277db39a06697dd32d39edb88	隧道股份打浦路越江隧道复线盾构	""
408b7d4a9741d3f650df07130de316dd	NIFTY（无创产前基因检测/胎儿染色体非整倍体检测）	""
40a87622d470e8285afd480070ebc48f	双端洗瓶机	""
423d961543929fe8e8dcd5e3229c296b	阿科力A-4250热塑性丙烯酸树脂	""
440d113f1c26f2a248f644cf734d4518	滑轮	""
456c16c3efda2229fa2336825cd98592	华东科技触摸屏	""
4719ad7d7c2ad23ca82afd42363f9ace	湘杂油油菜种子	""
4b4a16b98aa6521cf46680051d27d822	ZDF02 热滑收缩膜	""
4c9acdb23a33f918076dd2fca7fb4cdc	数字测量测试模块	""
4de06c0753642f9d941a1e0fa9b85c43	"\"ETC+\"电子标签"	""
4ed3ac332b5cbc8b820f4b3b0235fbe9	中学英语读物	""
53c1b4dca9d3d57e83c4c37bc7815c70	斯太尔·金王子	""
