id	gpdm	zycp
0	002039.SZ	黔源电力贵州省火电供应
0	002039.SZ	黔源电力贵州省水电供应
0	002039.SZ	黔源电力普定水电站
0	002039.SZ	黔源电力水城发电厂
0	002039.SZ	黔源电力引子渡水电站
0	000791.SZ	风力发电
0	000791.SZ	光伏发电
0	000791.SZ	水力发电
0	000899.SZ	赣能股份江西省火电供应
0	000899.SZ	赣能股份江西省水电供应
0	000539.SZ	粤电力广东省供热
0	000539.SZ	粤电力广东省火电供应
0	000611.SZ	时代电子检测仪
0	000611.SZ	时代试验机
0	603221.SH	普通地板
0	603221.SH	锁扣地板
0	603221.SH	悬浮地板
0	000966.SZ	长源电力湖北省火电供应
0	000966.SZ	长源电力湖北省热水供应
0	000966.SZ	长源电力湖北省蒸汽供应
0	000768.SZ	ARJ-21飞机机身
0	000768.SZ	ARJ-21飞机机翼零部件
0	000768.SZ	波音747组件
0	000768.SZ	西飞VCM产品
0	000768.SZ	西飞铝合金型材
0	000768.SZ	西飞装饰材料
0	000768.SZ	新舟60飞机
0	000768.SZ	新舟60飞机零部件
0	002207.SZ	准油股份储油罐机械清洗
0	002207.SZ	准油股份建筑安装业务
0	002207.SZ	准油股份井下措施业务
0	002207.SZ	准油股份连续油管作业及制氮注氮作业
0	002207.SZ	准油股份清（防）蜡
0	002207.SZ	准油股份油气井测试业务
0	002207.SZ	准油股份油田管理业务
0	002207.SZ	准油股份运输服务业务
0	300775.SZ	三角防务航空发动机,地面和舰用燃气轮机盘类件
0	300775.SZ	三角防务客机,战斗机机身结构件
0	300775.SZ	三角防务起落架系统结构件
0	300775.SZ	三角防务直升机结构件
0	300696.SZ	接头
0	300696.SZ	框
0	300696.SZ	肋
0	300696.SZ	梁
0	300696.SZ	支座
0	300696.SZ	组件
0	002328.SZ	APC机柜
0	002328.SZ	AR系列网络电源机柜
0	002328.SZ	宝来A5车型车窗导轨模
0	002328.SZ	刹车箍
0	002328.SZ	单相交流电动机
0	002328.SZ	等离子电视散热板
0	002328.SZ	电动工具
0	002328.SZ	工作台
0	002328.SZ	反折压平模具
0	002328.SZ	割草机
0	002328.SZ	切割机
0	002328.SZ	诺基亚机箱
0	002328.SZ	其它电动机
0	002328.SZ	发电机
0	002328.SZ	汽车底盘
0	002328.SZ	座椅
0	000722.SZ	湖南巫水流域供电
0	000722.SZ	湖南芷江蟒塘供电
0	000722.SZ	金果实业电缆加工
0	000722.SZ	金果实业短颈超薄彩管
0	000722.SZ	金果实业菁泉豪苑及园景
0	000722.SZ	金果实业食品罐头
0	000722.SZ	金智车载卫星天线
0	000722.SZ	科信电子—DIP清洗机
0	000722.SZ	科信电子－抛光机
0	000722.SZ	普照彩色滤光片
0	000722.SZ	普照匀胶铬版
0	000722.SZ	养老
0	000722.SZ	医疗
0	001896.SZ	豫能控股河南省火电供应
0	600609.SH	华晨宝马轿车
0	600609.SH	金杯超级领航者轿车
0	600609.SH	金杯阁瑞斯MPV
0	600609.SH	金杯海狮微型面包车
0	600609.SH	金杯领航者轿车
0	600609.SH	金杯锐驰轿车
0	600609.SH	金杯微型卡车
0	600609.SH	金杯优越者轿车
0	600609.SH	中华晨风轿车
0	000953.SZ	合成氨
0	000953.SZ	河池化工二氧化碳
0	000953.SZ	河池化工甲醇
0	000953.SZ	群山复混肥料
0	000953.SZ	群山尿素
0	002933.SZ	飞机信息管理与记录系统
0	002933.SZ	机载悬挂/发射装置
0	002933.SZ	技术服务及其他
0	002933.SZ	军用自主可控计算机
0	002933.SZ	综合测试与保障系统
0	002889.SZ	基础供应链管理服务
0	002889.SZ	深度整合供应链管理服务
0	000687.SZ	天鹅120D无光半连续纺粘胶长丝
0	000687.SZ	天鹅150D无光半连续纺粘胶长丝
0	000687.SZ	天鹅氨纶
0	000687.SZ	天鹅半连续纺粘胶长丝
0	000687.SZ	天鹅浆粕
0	000687.SZ	天鹅连续纺粘胶长丝
0	000687.SZ	天鹅熔融纺氨纶丝
0	000687.SZ	天鹅粘胶长丝合股纱线
0	002155.SZ	辰州矿业金锭
0	002155.SZ	辰州矿业金条
0	002155.SZ	辰州矿业精锑
0	002155.SZ	辰州矿业三氧化二锑
0	002155.SZ	辰州矿业钨产品
0	002155.SZ	辰州矿业仲钨酸铵
0	300475.SZ	大容量波轮减速离合器
0	300475.SZ	普通波轮减速离合器
0	300475.SZ	双波轮减速离合器
0	300475.SZ	双驱动减速离合器
0	300475.SZ	直驱电机减速离合器一体化装置
0	000856.SZ	电气设备
0	000856.SZ	水泥机械设备制造
0	000856.SZ	水泥生产线土建安装
0	000856.SZ	水泥生产线维修工程
0	002608.SZ	财产权信托
0	002608.SZ	单一资金信托
0	002608.SZ	电力
0	002608.SZ	集合资金信托
0	002608.SZ	热力
0	600868.SH	梅雁TFT彩色液晶显示器
0	600868.SH	梅雁超薄铜箔
0	600868.SH	梅雁广东省梅州市水电供应
0	600868.SH	梅雁螺旋藻
0	600868.SH	梅雁旋窑水泥
0	000670.SZ	皇家湾小区名邸苑二期
0	000670.SZ	皇家湾小区名邸苑一期车位
0	000670.SZ	长兴皇家湾
0	300423.SZ	HXGN17-12系列成套设备
0	300423.SZ	KYN28-1系列成套设备
0	300423.SZ	KYN-40.5系列成套设备
0	300423.SZ	L-GCK系列成套设备
0	300423.SZ	L-GCS 系列成套设备
0	300423.SZ	L-GGD系列成套设备
0	300423.SZ	MNS系列成套设备
0	300423.SZ	XGN2-12系列成套设备
0	300423.SZ	ZNYBW-12/0.4
0	300570.SZ	光分路器
0	300570.SZ	光纤传感分析仪
0	300570.SZ	光纤光栅
0	300570.SZ	光纤光栅传感器
0	300570.SZ	光纤接续产品
0	300570.SZ	光纤连接器
0	300570.SZ	解决方案
0	300570.SZ	陶瓷插芯
0	300570.SZ	专用设备
0	688058.SH	Web中间件BES8.1.1
0	688058.SH	Web中间件BES8.20
0	688058.SH	Web中间件BES9.2.0
0	688058.SH	Web中间件BES9.5
0	688058.SH	分布式缓存数据库CacheDB
0	688058.SH	分布式中间件VBroker
0	688058.SH	数据统一交换平台DES DataLink DXP
0	688058.SH	消息中间件BES MQ 1.0.0
0	688058.SH	消息中间件BES MQ 2.0.0
0	688058.SH	应用可用性探测AppChecker
0	688058.SH	应用性能管理WebGate
0	688058.SH	云计算CloudLink CMP
0	688058.SH	云运维CloudLink
0	300777.SZ	碳纤维
0	300777.SZ	碳纤维织物
0	002259.SZ	CNG/LNG加气站
0	002259.SZ	城镇燃气管网系统
0	002259.SZ	液化天然气的生产和销售
0	605001.SH	车外结构件
0	605001.SH	检修业务
0	605001.SH	金属结构件
0	605001.SH	模块化产品
0	605001.SH	内装产品
0	605001.SH	卫生间系统
0	300483.SZ	天然气的勘探
0	300483.SZ	开采与销售
0	300483.SZ	园艺类灌溉
0	300483.SZ	园艺类机械
0	300483.SZ	园艺类手工具
0	300483.SZ	园艺类装饰类
0	300474.SZ	图形显控
0	300474.SZ	小型专用化雷达领域核心模块
0	300819.SZ	超细纤维仿皮面料
0	300819.SZ	超细纤维干发帽
0	300819.SZ	超细纤维功能面料
0	300819.SZ	超细纤维麂皮沙发套
0	300819.SZ	超细纤维无尘洁净制品
0	300819.SZ	超细纤维浴袍
0	300819.SZ	超细纤维运动巾
0	300819.SZ	运动裤
0	000767.SZ	漳泽电力电解铝
0	000767.SZ	漳泽电力山西省火电供应
0	000767.SZ	漳泽电力炭素
0	000767.SZ	漳泽电力蒸汽和热水供应
0	000400.SZ	顺特干式变压器
0	000400.SZ	许继EMS加工服务
0	000400.SZ	许继WGL-800故障录波分析装置
0	000400.SZ	许继电力系统线路保护成套装置
0	000400.SZ	许继电铁二次设备及城市轻轨控制设备
0	000400.SZ	许继电子式
0	000400.SZ	感应式电能表
0	000400.SZ	许继电子式电度表
0	000400.SZ	许继继电保护测试设备
0	000400.SZ	许继继电保护及故障信息系统
0	000400.SZ	许继继电器
0	000400.SZ	许继母线保护及其他
0	000400.SZ	许继全数字化变电站
0	000400.SZ	许继微机综合保护装置
0	000400.SZ	许继箱式变电站
0	000400.SZ	许继中
0	000400.SZ	低压开关设备
0	300634.SZ	技术服务业务
0	300634.SZ	软件产品开发与销售
0	300634.SZ	系统集成业务
0	688181.SH	八亿时空3D液晶材料
0	688181.SH	八亿时空HTN型液晶材料
0	688181.SH	八亿时空PDLC液晶材料
0	688181.SH	八亿时空STN型液晶材料
0	688181.SH	八亿时空TFT型液晶材料
0	688181.SH	八亿时空TN型液晶材料
0	688181.SH	八亿时空VA液晶材料
0	688181.SH	八亿时空粗品单晶
0	688181.SH	八亿时空粗品单晶
0	688181.SH	精品单晶
0	688181.SH	八亿时空酚类液晶中间体
0	688181.SH	八亿时空含氟类液晶化合物
0	688181.SH	八亿时空炔类液晶化合物
0	688181.SH	八亿时空烯类液晶化合物
0	688181.SH	八亿时空酯类液晶化合物
0	688181.SH	八亿时空中间体等
0	000531.SZ	穗恒运A广州市火电供应
0	000531.SZ	穗恒运A广州市热水供应
0	000531.SZ	穗恒运A广州市蒸汽供应
0	000531.SZ	穗恒运A脱硫剂
0	300105.SZ	等离子体点火设备
0	300105.SZ	工业窑炉等离子体点火系统
0	300105.SZ	微油点火设备
0	000543.SZ	皖能电力安徽省火电供应
0	000543.SZ	皖能电力华东地区火电供应
0	300446.SZ	剥离型磁条
0	300446.SZ	热敏磁票
0	300446.SZ	粘贴型磁条
0	002611.SZ	APSTAR HBL 
0	002611.SZ	APSTAR HG 
0	002611.SZ	APSTAR HS 
0	002611.SZ	TOPRA AD 
0	002611.SZ	TOPRA FD 
0	002611.SZ	TOPRA GD 
0	002611.SZ	TOPRA PD 
0	002611.SZ	VASBO华之宝
0	002611.SZ	舷外机动力设备
0	002611.SZ	新能源汽车动力电池系统
0	002611.SZ	粘箱机
0	002611.SZ	振动清废堆叠机
0	000600.SZ	建投能源国际大厦酒店
0	000600.SZ	建投能源河北省火电供应
0	000600.SZ	建投能源热力
0	002592.SZ	CPU水冷散热器
0	002592.SZ	铝散热器
0	002592.SZ	暖风机
0	002592.SZ	暖芯
0	002592.SZ	散热器配件
0	002592.SZ	铜质散热器
0	002592.SZ	油冷器
0	002592.SZ	中冷器
0	000738.SZ	宇航486Q型号汽车缸体
0	000738.SZ	宇航DFL-01型电动转向器
0	000738.SZ	宇航DFL-04型电动转向器
0	000738.SZ	宇航DFL-18型电动转向器
0	000738.SZ	宇航航空零部件加工
0	000738.SZ	宇航摩托车发动机
0	000738.SZ	宇航南方电动车
0	000738.SZ	宇航南方摩托车
0	300694.SZ	涡轮壳
0	300694.SZ	压气机壳
0	688388.SH	嘉元科技6～18μm各类高性能超薄电解铜箔
0	688388.SH	嘉元科技极薄铜箔双面光6μm
0	688388.SH	嘉元科技极薄铜箔双面光7-8μm
0	000591.SZ	光伏组件
0	000591.SZ	太阳能电池组件
0	002499.SZ	光伏电站建设
0	002499.SZ	光伏电站开发
0	002499.SZ	光伏电站投资
0	002499.SZ	光伏电站运营
0	002194.SZ	凡谷低噪声放大器
0	002194.SZ	凡谷隔离器
0	002194.SZ	凡谷功分器
0	002194.SZ	凡谷合路器
0	002194.SZ	凡谷滤波器
0	002194.SZ	凡谷射频子系统
0	002194.SZ	凡谷双工器
0	002194.SZ	凡谷驻波比报警器
0	002938.SZ	其他领域用板
0	002938.SZ	通讯用板
0	002938.SZ	消费电子及计算机用板
0	002951.SZ	白沙
0	002951.SZ	芙蓉王
0	002951.SZ	红梅
0	002951.SZ	红塔山
0	002951.SZ	黄果树
0	002951.SZ	黄山
0	002951.SZ	娇子
0	002951.SZ	宽窄
0	002951.SZ	利群
0	002951.SZ	龙凤呈祥
0	002951.SZ	天子
0	002951.SZ	云烟
0	300769.SZ	德方纳米(挂牌终止)布袋石墨烯
0	300769.SZ	德方纳米(挂牌终止)纳米磷酸铁锂
0	300769.SZ	德方纳米(挂牌终止)碳纳米管
0	300769.SZ	德方纳米(挂牌终止)碳纳米管导电液
0	300810.SZ	A/D板（多路信号模数转换模块）
0	300810.SZ	D/A板（多路信号数模转换模块）
0	300810.SZ	DSP板（信号处理模块/计算模块）
0	300810.SZ	第二代信号处理平台
0	300810.SZ	第三代信号处理平台
0	300810.SZ	光纤板卡
0	300810.SZ	交换板卡
0	300810.SZ	全智能水下监测声纳系统
0	300810.SZ	声纳模拟仿真系统
0	300810.SZ	矢量阵声纳系统
0	300810.SZ	水声大数据系统
0	300810.SZ	水下无人自主航行器
0	300810.SZ	探测用水面无人艇
0	300810.SZ	听闻板卡
0	300810.SZ	拖曳声纳系统
0	300810.SZ	无人探测系统
0	603950.SH	齿轮室
0	603950.SH	飞轮壳
0	603950.SH	缸盖
0	603950.SH	缸体
0	603950.SH	连杆
0	603950.SH	排气管
0	603950.SH	主轴承盖
0	000862.SZ	宁夏银仪风力发电
0	000862.SZ	吴仪保温夹套笼式双座调节阀
0	000862.SZ	吴仪波纹管密封调节阀
0	000862.SZ	吴仪衬塑波纹管调节阀
0	000862.SZ	吴仪单座调节阀
0	000862.SZ	吴仪低噪音调节阀
0	000862.SZ	吴仪放气阀
0	000862.SZ	吴仪浮球液位控制阀
0	000862.SZ	吴仪高压笼式双座调节阀
0	000862.SZ	吴仪回水阀
0	000862.SZ	吴仪角型调节阀
0	000862.SZ	吴仪聚四氟乙烯单座调节阀
0	000862.SZ	吴仪笼式双座调节阀
0	000862.SZ	吴仪尿素合成塔出口压力调节阀
0	000862.SZ	吴仪纽扣式预付费燃气表
0	000862.SZ	吴仪平衡阀
0	000862.SZ	吴仪气动薄膜低温双座调节阀
0	000862.SZ	吴仪生化调节阀
0	000862.SZ	吴仪微小流量调节阀
0	000862.SZ	吴仪温控阀
0	000862.SZ	吴仪预付费电表
0	000862.SZ	吴仪直行程调节阀
0	000862.SZ	吴仪自力式调节阀
0	000862.SZ	银星风力发电机组
0	000862.SZ	银星能源定位器及附件
0	000862.SZ	银星能源多晶硅
0	000099.SZ	电力巡线
0	000099.SZ	港口引航
0	000099.SZ	海上石油直升机服务
0	000572.SZ	福美来2代轿车
0	000572.SZ	海福星轿车
0	000572.SZ	海马3轿车
0	000572.SZ	海马物流
0	000572.SZ	欢动轿车
0	000572.SZ	普力马轿车
0	000572.SZ	新普力马轿车
0	300613.SZ	视频监控多媒体处理芯片
0	300613.SZ	数字接口模块
0	300613.SZ	专业技术服务
0	300184.SZ	被动器件   
0	300184.SZ	传感器  
0	300184.SZ	存储器    
0	300184.SZ	单片机及微处理器  
0	300184.SZ	电源管理器件  
0	300184.SZ	分立半导体器件  
0	300184.SZ	功率器件  
0	300184.SZ	光电器件  
0	300184.SZ	开关器件  
0	300184.SZ	可编程系统器件  
0	300184.SZ	时钟管理器件  
0	300184.SZ	数据转换器   
0	300184.SZ	数字电位器  
0	300184.SZ	数字逻辑电路  
0	300184.SZ	特殊功能集成电路  
0	300184.SZ	通信接口器件   
0	300184.SZ	系统管理器件  
0	300184.SZ	信号调理器件
0	003816.SZ	大亚湾核电站
0	003816.SZ	防城港核电站
0	003816.SZ	红沿河核电站
0	003816.SZ	岭澳核电站
0	003816.SZ	岭东核电站
0	003816.SZ	宁德核电站
0	003816.SZ	台山核电站
0	003816.SZ	阳江核电站
0	002480.SZ	GDPZ轨道交通桥梁盆式橡胶支座
0	002480.SZ	KTPZ客运专线铁路桥梁盆式橡胶支座
0	002480.SZ	TGPZ客运专线铁路桥梁调高盆式橡胶支座
0	002480.SZ	TSSF铁路型钢伸缩装置
