mc	gpdm	bgnd	order	bl
LOUIS DREYFUS COMMODITIES ASIA PRE LTD	600096.SH	2018.0	4.0	""
SAVAN TRANSPORT AND      LOGISTICS	600988.SH	2019.0	3.0	3.84
SK siltron Co Ltd	688396.SH	2018.0	3.0	4.65
上海东凡电力科技有限公司	000803.SZ	2017.0	2.0	28.95
上海镝鑫机电设备有限公司	688218.SH	2017.0	5.0	2.49
丽江晨达经营销售部	002033.SZ	2017.0	4.0	1.54
乐清市善尔信投资有限公司	603949.SH	2017.0	2.0	13.08
亿丰肥业(宁陵)有限公司	002783.SZ	2019.0	4.0	3.13
介休市三元选煤有限公司	600408.SH	2018.0	2.0	2.24
佛山市三水粤山装饰实业有限公司	300749.SZ	2017.0	2.0	5.22
佛山市三水粤山装饰实业有限公司	300749.SZ	2018.0	4.0	2.67
北京燃气昌平有限公司	000820.SZ	2018.0	2.0	1.25
南通四建集团有限公司	000961.SZ	2019.0	5.0	0.38
吴川市振文陈波建筑材料经营部	002509.SZ	2017.0	5.0	3.1
宜昌电力	002950.SZ	2017.0	2.0	5.69
山东新风股份有限公司	300594.SZ	2018.0	5.0	3.36
无锡锡标华东标准件有限公司	600157.SH	2017.0	1.0	6.3
无锡锡标华东标准件有限公司	600157.SH	2018.0	1.0	8.44
杭州五鸿建筑劳务有限公司	000005.SZ	2017.0	2.0	6.6
杭州凯达电力建设有限公司	600052.SH	2019.0	3.0	""
杭州盈方科技有限公司	300634.SZ	2017.0	1.0	10.43
济南冠兴环保技术有限公司	603060.SH	2019.0	4.0	1.59
深圳市中龙通电子科技有限公司	688018.SH	2017.0	5.0	5.21
深圳市唯真电机有限公司	603583.SH	2017.0	4.0	4.76
烟台市龙泵煤炭销售有限公司	002481.SZ	2019.0	3.0	5.96
物资经销公司	600348.SH	2018.0	2.0	11.92
物资经销公司	600348.SH	2019.0	2.0	10.83
物资经销公司	600348.SH	2017.0	3.0	5.03
甘肃石岛玻璃有限公司	000752.SZ	2019.0	1.0	41.55
甘肃石岛玻璃有限公司	000752.SZ	2018.0	4.0	3.24
石家庄杰克化工有限公司	300758.SZ	2017.0	4.0	4.74
福建省电力勘测设计院	000993.SZ	2017.0	2.0	15.51
福建省电力勘测设计院	000993.SZ	2018.0	3.0	5.63
苏州德兴广自动化科技设备有限公司	300836.SZ	2018.0	1.0	8.27
苏州德兴广自动化科技设备有限公司	300836.SZ	2019.0	1.0	8.46
苏州德兴广自动化科技设备有限公司	300836.SZ	2017.0	2.0	4.39
重庆秦煤实业有限公司	600227.SH	2018.0	4.0	4.56
陕西东方电力工程有限公司	300040.SZ	2019.0	1.0	8.95
青岛豪雅光电电子有限公司上海分公司	002962.SZ	2018.0	3.0	9.15
青岛豪雅光电电子有限公司上海分公司	002962.SZ	2017.0	4.0	7.08
高密市南洋食品有限公司	002982.SZ	2019.0	1.0	14.18
高密市南洋食品有限公司	002982.SZ	2018.0	5.0	5.72
鸿秦科技有限公司	002338.SZ	2018.0	5.0	2.47
