mc	gpdm	bgnd	order	bl
Asia Management AG	605001.SH	2017.0	1.0	14.48
Asia Management AG	605001.SH	2018.0	1.0	17.65
Asia Management AG	605001.SH	2019.0	1.0	10.72
FINE SEMITECH CORP  Pellicle	688138.SH	2017.0	5.0	3.09
IKOPEKELA	000923.SZ	2019.0	4.0	0.78
KINX日本株式会社	688588.SH	2017.0	1.0	8.34
KINX日本株式会社	688588.SH	2018.0	3.0	5.34
SMC Automation (Hong Kong)Limited	688312.SH	2019.0	3.0	3.1
b3	000963.SZ	2019.0	3.0	2.4
上海华冠生物芯片有限公司	300216.SZ	2017.0	4.0	3.11
上海旭可气体有限公司	300796.SZ	2019.0	5.0	5.27
上海海鹏化工科技有限公司	002095.SZ	2019.0	3.0	5
上海红鹭国际贸易有限公司	601168.SH	2018.0	2.0	""
东营金驹环保科技有限公司	000915.SZ	2019.0	5.0	1.76
南通华通建设集团有限公司	000058.SZ	2019.0	1.0	4.98
南通华通建设集团有限公司	000058.SZ	2018.0	2.0	4.59
南通蓝岛海洋工程有限公司	601226.SH	2017.0	2.0	6.04
南通蓝岛海洋工程有限公司	601615.SH	2017.0	4.0	2.35
厦门三裕丰能源有限公司	000905.SZ	2017.0	2.0	5.6
唐山丰润区丰广瑞商贸有限公司	300095.SZ	2019.0	2.0	4.3
天津市金泰来贸易有限公司	000158.SZ	2017.0	3.0	5.74
如东新捷新能源有限公司	300008.SZ	2017.0	2.0	5.13
宁波亿屯钢材有限公司	002586.SZ	2017.0	3.0	1.18
宁波汉普塑业股份有限公司	603179.SH	2018.0	3.0	""
宁波汉普塑业股份有限公司	603179.SH	2019.0	4.0	""
宁波汉普塑业股份有限公司	603179.SH	2017.0	5.0	""
常州市金坛瑞祥苗木专业合作社	300536.SZ	2017.0	3.0	2.01
新乡市巨晶化工有限责任公司	000518.SZ	2017.0	2.0	7.52
新沂上相影视文化工作室	300528.SZ	2018.0	5.0	2.38
新疆盈科国际贸易有限公司	002524.SZ	2017.0	2.0	14.68
新疆盈科国际贸易有限公司	002524.SZ	2018.0	2.0	11.34
昆山市华鼎装饰有限公司	001914.SZ	2018.0	5.0	0.86
江苏万年长药业有限公司	300637.SZ	2019.0	5.0	2.8
沈阳沈电电力工程有限公司	000679.SZ	2017.0	2.0	1.44
沈阳沈电电力工程有限公司	000679.SZ	2018.0	5.0	1.43
淮安南风鸿运工贸有限公司	000789.SZ	2018.0	2.0	3.37
深圳市中装建设集团股份有限公司	002077.SZ	2018.0	5.0	1.8
深圳市水务局	000007.SZ	2017.0	4.0	5.94
深圳市顶星科技有限公司	688023.SH	2017.0	2.0	10.08
深圳市顶星科技有限公司	688023.SH	2018.0	5.0	2.12
深圳市鹏城基业混凝土有限公司	002949.SZ	2017.0	4.0	5.9
湖南雅城新材料有限公司	300340.SZ	2017.0	3.0	4.31
湖南雅城新材料有限公司	300340.SZ	2018.0	3.0	6.65
百丽鞋业(武汉)有限公司	000785.SZ	2017.0	3.0	1.54
百丽鞋业(武汉)有限公司	000785.SZ	2018.0	4.0	1.47
郴州拓维贸易有限公司	002716.SZ	2019.0	5.0	4.97
陕西柴油机重工有限公司铸造事业部	000862.SZ	2018.0	4.0	2.71
青岛弘信源动力设备有限公司	000976.SZ	2018.0	3.0	7.15
青岛弘信源动力设备有限公司	000976.SZ	2017.0	5.0	5.45
青岛弘信源动力设备有限公司	000976.SZ	2019.0	5.0	4
青岛海信电器营销股份有限公司长沙分公司(长岳株益彩电)	000419.SZ	2017.0	5.0	4.32
青岛特殊钢铁有限公司	000030.SZ	2017.0	1.0	3.83
