mc	gpdm	bgnd	order	bl
INTERNATIONAL PAPER COMPANY	600409.SH	2018.0	3.0	2.49
INTERNATIONAL PAPER COMPANY	600409.SH	2019.0	4.0	2.06
SUMCO JSQ	688233.SH	2018.0	1.0	27.68
SUMCO JSQ	688233.SH	2017.0	2.0	27.11
上海云天金属材料有限公司	300337.SZ	2018.0	4.0	7.34
上海云天金属材料有限公司	002617.SZ	2019.0	4.0	8.81
上海连康明化工有限公司	002381.SZ	2017.0	5.0	4.21
上海鸿磐贸易有限公司	000652.SZ	2017.0	5.0	5
中一信建设工程有限公司	000088.SZ	2018.0	3.0	4.4
中国冶金科工股份有限公司	601827.SH	2019.0	1.0	6.88
中国冶金科工股份有限公司	601827.SH	2017.0	2.0	6.64
中国冶金科工股份有限公司	601827.SH	2018.0	5.0	2.45
中石化炼销公司	000819.SZ	2017.0	1.0	71.84
中石化炼销公司	000819.SZ	2018.0	1.0	79.5
中石化炼销公司	000819.SZ	2019.0	1.0	76.27
中芯国际集成电路制造有限公司	603068.SH	2017.0	1.0	32.59
中芯国际集成电路制造有限公司	603068.SH	2018.0	2.0	16.44
中芯国际集成电路制造有限公司	603893.SH	2018.0	3.0	15.28
中芯国际集成电路制造有限公司	603893.SH	2017.0	4.0	15.23
中芯国际集成电路制造有限公司	688099.SH	2017.0	5.0	0.1
北京凯思轩飞系统工程有限公司	688228.SH	2017.0	2.0	7.88
北京凯思轩飞系统工程有限公司	688228.SH	2018.0	2.0	5.06
北京吉狮互动网络营销技术有限公司	300338.SZ	2019.0	4.0	3.7
北京和才梦幻文化传播有限公司	300081.SZ	2017.0	2.0	3.57
北京晶川电子技术发展有限责任公司	300827.SZ	2017.0	2.0	4.79
北京晶川电子技术发展有限责任公司	300827.SZ	2019.0	2.0	6.37
北京晶川电子技术发展有限责任公司	300827.SZ	2018.0	4.0	4.48
南京佳韵物资贸易有限公司	000652.SZ	2019.0	3.0	5.78
吉林省煤业集团有限公司	000875.SZ	2017.0	5.0	3.37
常州市申品铸造有限公司	603915.SH	2017.0	3.0	4.08
常州市申品铸造有限公司	603915.SH	2018.0	4.0	2.96
广东高等教育出版社有限公司	000529.SZ	2017.0	3.0	2.89
广东高等教育出版社有限公司	000529.SZ	2018.0	3.0	2.73
张家港海陆钢结构有限公司	000820.SZ	2019.0	2.0	18.33
张家港海陆钢结构有限公司	000820.SZ	2017.0	5.0	4.06
新疆新北商贸有限公司	002307.SZ	2018.0	4.0	2.33
新疆青松建材化工集团股份有限公司	002307.SZ	2017.0	4.0	1.2
无锡派克新材料科技股份有限公司	300402.SZ	2019.0	4.0	5.85
昆明三合钢结构制造有限公司	601827.SH	2017.0	4.0	3.49
江苏常隆农化有限公司	002215.SZ	2017.0	4.0	2.65
江门谦信化工发展有限公司	688157.SH	2019.0	3.0	5.53
江阴市杭泰金属制品有限公司(江阴奥泰)	300280.SZ	2018.0	1.0	5
江阴市杭泰金属制品有限公司(江阴奥泰)	300280.SZ	2017.0	3.0	5.25
江阴鑫顺泰钢铁供应链有限公司	300280.SZ	2018.0	2.0	4.81
法人一	000514.SZ	2017.0	1.0	12.12
法人一	000514.SZ	2018.0	1.0	28.3
法人一	000514.SZ	2019.0	1.0	30.43
法人一	000029.SZ	2017.0	1.0	13.5
法人一	000029.SZ	2018.0	1.0	6.81
法人一	000029.SZ	2019.0	1.0	36.01
法人一	000046.SZ	2017.0	1.0	10.87
法人一	000046.SZ	2018.0	1.0	37.34
法人一	000046.SZ	2019.0	1.0	20.43
泰州市华海商贸有限公司	600854.SH	2018.0	3.0	0.65
泸溪县鑫隆紫砂陶瓷厂	000799.SZ	2017.0	4.0	4.41
温州兴安矿山建设有限公司	000603.SZ	2017.0	3.0	10.43
联尚天畅(北京)科技有限公司	002072.SZ	2018.0	3.0	11
长春通视光电技术有限公司	002338.SZ	2019.0	5.0	3.25
长沙惠凯	002943.SZ	2018.0	1.0	9.42
