mc	gpdm	bgnd	order	bl
HANWHACORPORATION	000506.SZ	2019.0	4.0	3.78
LCTechGmbH	300165.SZ	2019.0	4.0	2.47
上海世梅实业有限公司	603587.SH	2017.0	2.0	5.21
上海华胄网络科技有限公司	300245.SZ	2018.0	4.0	3.81
上海影晨信息科技有限公司	600870.SH	2018.0	3.0	3.13
东莞市东糖集团有限公司	000833.SZ	2017.0	3.0	5.25
中国石油天然气股份公司西南化工销售分公司	000589.SZ	2017.0	2.0	7.38
中国石油天然气股份公司西南化工销售分公司	000589.SZ	2018.0	2.0	5.86
中国石油天然气股份公司西南化工销售分公司	000589.SZ	2019.0	4.0	5.5
中国石油天然气股份有限公司天然气销售西部分公司	002259.SZ	2017.0	1.0	85
中国石油天然气股份有限公司天然气销售西部分公司	002267.SZ	2017.0	1.0	62.48
中国石油天然气股份有限公司天然气销售西部分公司	002267.SZ	2018.0	1.0	65.51
中国石油天然气股份有限公司天然气销售西部分公司	000683.SZ	2018.0	1.0	12.17
中国石油天然气股份有限公司天然气销售西部分公司	000683.SZ	2017.0	2.0	3.95
中国石油天然气股份有限公司天然气销售西部分公司	000792.SZ	2017.0	2.0	8.07
中国石油天然气股份有限公司天然气销售西部分公司	002700.SZ	2017.0	1.0	42.37
中国石油天然气股份有限公司天然气销售西部分公司	002700.SZ	2018.0	1.0	69.94
中国石油天然气股份有限公司天然气销售西部分公司	002524.SZ	2018.0	1.0	26.5
中山市奥都机械设备安装有限公司	300756.SZ	2017.0	4.0	2.76
中粮生化能源(肇东)有限公司	000930.SZ	2017.0	5.0	1.73
丹阳市华龙特钢有限公司	002591.SZ	2018.0	1.0	3.73
内蒙古淮矿西部煤炭贸易有限公司	600863.SH	2019.0	3.0	6.94
内蒙古淮矿西部煤炭贸易有限公司	600863.SH	2017.0	4.0	3.96
内蒙古淮矿西部煤炭贸易有限公司	600863.SH	2018.0	4.0	2.26
内蒙古淮矿西部煤炭贸易有限公司	600575.SH	2018.0	2.0	""
内蒙古淮矿西部煤炭贸易有限公司	600575.SH	2019.0	2.0	""
内蒙古煤炭建设工程(集团)总公司	000968.SZ	2018.0	5.0	1.86
内蒙古白音华蒙东露天煤业有限公司	000875.SZ	2017.0	2.0	15.79
内蒙古白音华蒙东露天煤业有限公司	000875.SZ	2019.0	2.0	9.18
内蒙古白音华蒙东露天煤业有限公司	000875.SZ	2018.0	3.0	8.85
北京威士龙驱动设备有限公司	300362.SZ	2018.0	3.0	3
北京星缘新动力科技有限公司	002072.SZ	2018.0	2.0	19
同方威视技术股份有限公司	603927.SH	2018.0	5.0	1.99
咸阳忠和商贸有限公司	002109.SZ	2018.0	4.0	7.1
咸阳忠和商贸有限公司	002109.SZ	2017.0	5.0	6.36
品牌 2	002024.SZ	2018.0	2.0	6.08
唐山市巨材贸易有限公司	000856.SZ	2019.0	3.0	5.25
天音通信有限公司	600083.SH	2019.0	1.0	39.99
天音通信有限公司	300081.SZ	2017.0	1.0	11.85
天音通信有限公司	300081.SZ	2018.0	1.0	11.39
天音通信有限公司	000058.SZ	2017.0	2.0	2.1
宁夏鸿瑞达环保科技有限公司	000635.SZ	2019.0	4.0	2.41
宁波和丰化工有限公司	603657.SH	2017.0	2.0	5.9
安泰公司	688012.SH	2017.0	3.0	5.78
帝斯曼江山维生素贸易(苏州)有限公司	688089.SH	2018.0	3.0	7.74
帝斯曼江山维生素贸易(苏州)有限公司	688089.SH	2017.0	5.0	7.72
常州容大结构减振股份有限公司	300767.SZ	2017.0	3.0	7.55
惠州市大亚湾科翔科技电路板有限公司	300282.SZ	2018.0	4.0	3.45
新疆石油管理局有限公司物资供应公司	300370.SZ	2019.0	1.0	7.92
新疆石油管理局有限公司物资供应公司	300370.SZ	2018.0	3.0	3.89
杨      玲	000929.SZ	2018.0	4.0	3.78
江苏广域化学有限公司	688181.SH	2017.0	5.0	6.99
江苏空间新盛建设工程有限公司	300105.SZ	2019.0	3.0	4.18
深圳市供电局	000007.SZ	2017.0	1.0	16.36
深圳市全达市政工程设计有限公司	300778.SZ	2018.0	1.0	""
湖北星月明商贸有限公司	300527.SZ	2019.0	4.0	5.74
湖南杰牌传动科技发展有限公司	002943.SZ	2017.0	3.0	5.26
瓦房店轴承集团有限责任公司	002204.SZ	2019.0	4.0	1.39
甘肃中盛农牧发展有限公司	002982.SZ	2017.0	4.0	4.48
肃南裕固族自治县祁隆建筑安装有限责任公司	000791.SZ	2017.0	3.0	5.22
苏州聚生精密冲件有限公司	688029.SH	2017.0	3.0	5.02
苏州聚生精密冲件有限公司	688029.SH	2018.0	3.0	5.57
重庆康能实业有限公司	603109.SH	2019.0	2.0	4.52
重庆浩和金属制品有限公司	002662.SZ	2019.0	3.0	3.87
金华市程凯合金材料有限公司	300817.SZ	2017.0	1.0	18.42
金华市程凯合金材料有限公司	300817.SZ	2018.0	1.0	16.39
陕西开达化工有限责任公司	300842.SZ	2018.0	5.0	0.1
雅培贸易(上海)有限公司	603214.SH	2017.0	2.0	9.63
