mc	gpdm	bgnd	order	bl
AREVA NP	003816.SZ	2017.0	5.0	2.47
a	000953.SZ	2019.0	1.0	48.85
上海兰蓉生物科技有限公司	300813.SZ	2019.0	4.0	3
上海至诚环境服务有限公司	000011.SZ	2018.0	2.0	3.92
中国航空工业集团公司北京航空制造有限公司	002023.SZ	2017.0	5.0	2.23
中石化长江燃料有限公司	000520.SZ	2017.0	5.0	4.15
中石油燃料油有限责任公司东北销售分公司盘锦经营部	600853.SH	2019.0	2.0	2.53
北京万有真源科技有限公司	002359.SZ	2017.0	3.0	7.73
北京镛和正维科技有限公司	688198.SH	2017.0	1.0	34.4
北京镛和正维科技有限公司	688198.SH	2018.0	2.0	15.55
南京华帝电力设备工程有限公司	300172.SZ	2019.0	1.0	1.79
南京华帝电力设备工程有限公司	300172.SZ	2018.0	3.0	1.65
吉林晟吉万汽车零部件有限公司	002048.SZ	2019.0	4.0	1.93
唐山泓泰水泥有限公司	000931.SZ	2019.0	5.0	1.2
天津花漾文化传媒有限公司	002113.SZ	2019.0	4.0	5.46
宁海县立宇金属制品有限公司	300329.SZ	2019.0	5.0	4.6
宜昌国诚涂镀板有限公司	002971.SZ	2017.0	2.0	13.4
宜昌国诚涂镀板有限公司	002971.SZ	2018.0	2.0	15.44
山东省药用玻璃股份有限公司	688189.SH	2018.0	5.0	3.21
山东省药用玻璃股份有限公司	603963.SH	2019.0	5.0	2.15
山东诚通电力建设工程有限公司	688096.SH	2019.0	2.0	4.89
山东金晶科技股份有限公司	300160.SZ	2017.0	1.0	22.34
山东金晶科技股份有限公司	002613.SZ	2018.0	4.0	2.48
山东金晶科技股份有限公司	002613.SZ	2019.0	5.0	2.43
山西佳泰洪福能源集团股份有限公司	600408.SH	2017.0	2.0	9.42
山西佳泰洪福能源集团股份有限公司	600408.SH	2018.0	5.0	1.76
巴彦淖尔市吉兴商贸有限公司	000688.SZ	2017.0	3.0	3.57
广东粤盛能源发展有限公司	000833.SZ	2017.0	2.0	6.32
广东粤盛能源发展有限公司	000833.SZ	2019.0	5.0	1.49
曙光信息产业(北京)有限公司	300454.SZ	2017.0	2.0	12.22
杭州中亚机械股份有限公司	300430.SZ	2018.0	3.0	3.03
杭州中亚机械股份有限公司	300430.SZ	2019.0	3.0	2
江苏丰远新材料	300806.SZ	2017.0	1.0	9.16
江苏丰远新材料	300806.SZ	2018.0	1.0	15.24
江苏吉鑫风能科技股份有限公司	300772.SZ	2017.0	5.0	5.15
江苏吉鑫风能科技股份有限公司	300772.SZ	2018.0	5.0	4.46
江苏蛟龙打捞航务工程有限公司	601226.SH	2018.0	3.0	4.23
江阴大商商贸有限公司	000890.SZ	2018.0	5.0	4.41
浙江三星新材股份有限公司	603187.SH	2017.0	2.0	8.86
海南众合天下科技有限公司	300229.SZ	2018.0	5.0	2.44
深圳市博大建设集团有限公司	000048.SZ	2017.0	3.0	4.56
深圳市博大建设集团有限公司	000048.SZ	2018.0	5.0	2.34
湖南天惠新材料科技有限公司	002452.SZ	2018.0	4.0	0.96
福建塔牌水泥有限公司	600382.SH	2018.0	4.0	3.71
贵州永兴通网络建设技术服务有限公司	603322.SH	2017.0	5.0	3.46
铁法煤业(集团)有限责任公司煤炭销售分公司	000059.SZ	2018.0	5.0	0.67
铁法煤业(集团)有限责任公司煤炭销售分公司	000692.SZ	2019.0	3.0	6.36
铁法煤业(集团)有限责任公司煤炭销售分公司	000692.SZ	2017.0	5.0	4.55
阿科玛	603212.SH	2017.0	2.0	14.38
阿科玛	603212.SH	2018.0	5.0	6.98
