mc	gpdm	bgnd	order	bl
CHAROEN INTER SRACH COMPANY LIMITED	002481.SZ	2017.0	4.0	1.51
DAEHYUN CO.,LTD	002612.SZ	2017.0	4.0	1.99
Grand Star Technology Ltd.	000670.SZ	2017.0	4.0	6.27
NITTO BOSEKI CO.,LTD.	603256.SH	2017.0	1.0	31.26
SMC 集团	002975.SZ	2018.0	5.0	2.7
上海智建电子工程有限公司	300168.SZ	2018.0	5.0	1.65
上海毕得医药科技有限公司	688202.SH	2018.0	5.0	3.05
上海诺银机电科技有限公司	300757.SZ	2017.0	5.0	3.37
东莞市**电梯有限公司	000573.SZ	2017.0	5.0	2.15
中山市永发金属制品有限公司	002035.SZ	2017.0	3.0	3.49
中煤电气有限公司	688078.SH	2018.0	1.0	18.63
中铁四局集团有限公司	300172.SZ	2017.0	2.0	2.61
中铁四局集团有限公司	000615.SZ	2019.0	1.0	13.68
中铁四局集团有限公司	000615.SZ	2018.0	2.0	7.9
九三集团哈尔滨惠康食品有限公司北安分公司	603027.SH	2017.0	1.0	6.49
九三集团哈尔滨惠康食品有限公司北安分公司	603027.SH	2018.0	1.0	10.85
北京市通州区植物保护站	000797.SZ	2017.0	2.0	9.29
北京索云科技股份有限公司	300277.SZ	2018.0	4.0	2.92
北京航天金盾科技有限公司	300330.SZ	2017.0	2.0	5.93
北京顺天府商贸有限公司	000931.SZ	2017.0	3.0	1.98
南通星辰合成材料有限公司	603530.SH	2017.0	4.0	5.71
南通星辰合成材料有限公司	603530.SH	2018.0	4.0	4.26
吉林省东业建设有限公司	000897.SZ	2019.0	3.0	2.92
四川引玉通信科技有限公司	000586.SZ	2019.0	2.0	4.25
天津天纺高新物流有限公司	000158.SZ	2017.0	4.0	2.99
山东威高集团医用高分子制品股份有限公司	688278.SH	2017.0	1.0	9.66
山东威高集团医用高分子制品股份有限公司	000518.SZ	2017.0	1.0	11.91
山东威高集团医用高分子制品股份有限公司	000518.SZ	2018.0	2.0	15.79
帜存数据技术(上海)有限公司	300253.SZ	2018.0	4.0	2.25
广东中实国润科技有限公司	300297.SZ	2017.0	1.0	5.39
广东省西河流域管理局	000685.SZ	2017.0	3.0	6.23
广东省西河流域管理局	000685.SZ	2018.0	3.0	5.1
广东省西河流域管理局	000685.SZ	2019.0	5.0	4.49
成都中住光纤有限公司	000586.SZ	2018.0	2.0	5.95
成都中住光纤有限公司	000586.SZ	2019.0	4.0	4.07
无锡市泉利钢管有限公司	300651.SZ	2017.0	5.0	2.48
江油市信实物资有限责任公司	600321.SH	2018.0	4.0	3.04
江油市信实物资有限责任公司	600321.SH	2019.0	4.0	4.55
江苏奥克化学有限公司	603616.SH	2018.0	1.0	""
江苏诺泰奥赛诺生物制药股份有限公司	300630.SZ	2017.0	2.0	9.38
河南苏灵建设工程有限公司	688178.SH	2017.0	2.0	4.53
玉溪马桥建设集团有限公司	002059.SZ	2017.0	3.0	2.2
玉溪马桥建设集团有限公司	002059.SZ	2018.0	3.0	1.39
绍兴县科来雅化纤有限公司	002486.SZ	2017.0	3.0	2.4
绍兴县科来雅化纤有限公司	002486.SZ	2018.0	3.0	3.39
绍兴县科来雅化纤有限公司	002486.SZ	2019.0	3.0	2.99
耐克体育(中国)有限公司	603555.SH	2017.0	1.0	19.21
耐克体育(中国)有限公司	603555.SH	2018.0	1.0	20.12
贝克休斯(中国)油田技术服务有限公司	300370.SZ	2019.0	3.0	2.97
贵州桓源建设工程有限公司	000005.SZ	2017.0	4.0	4.57
长春富维安道拓汽车饰件系统有限公司	000800.SZ	2017.0	5.0	2.98
