mc	gpdm	bgnd	order	bl
CJ INTERNATIONAL ASIA PTE.LTD	600096.SH	2018.0	3.0	""
N	603267.SH	2017.0	5.0	0.52
SK Energy Co Ltd.	002682.SZ	2017.0	1.0	9.86
上海东庆建筑劳务有限公司	600170.SH	2019.0	3.0	0.51
上海华能电子商务有限公司	000720.SZ	2018.0	4.0	4.93
上海华能电子商务有限公司	002471.SZ	2019.0	1.0	5.84
六福珠宝首饰(重庆)有限公司	000785.SZ	2017.0	2.0	1.98
六福珠宝首饰(重庆)有限公司	000785.SZ	2018.0	2.0	1.92
北京爱奇艺科技有限公司	300071.SZ	2017.0	3.0	3.41
北京爱奇艺科技有限公司	002113.SZ	2018.0	3.0	11.2
北京申通快递服务有限公司	002468.SZ	2017.0	3.0	2.29
吴忠市中捷仪表有限公司	000862.SZ	2019.0	5.0	3.54
嘉善精业特种金属材料有限公司	300817.SZ	2017.0	2.0	16.16
嘉善精业特种金属材料有限公司	300817.SZ	2018.0	2.0	16.29
天津市滨海新区规划和土地资源管理局	000965.SZ	2017.0	1.0	80.41
天津市缘信包装有限公司	000518.SZ	2018.0	5.0	4.75
天津物产九江国际贸易有限公司	300226.SZ	2018.0	2.0	1.39
宁波正凯机械有限公司	000678.SZ	2017.0	4.0	3.77
平顶山市良誉商贸有限公司	603697.SH	2018.0	4.0	7.35
广州市高科通信技术股份有限公司	300297.SZ	2017.0	4.0	4.73
无锡华美新材料有限公司	002508.SZ	2019.0	5.0	3.45
杭州百超精密机械有限公司	300813.SZ	2017.0	3.0	4.13
松下电器机电(中国)有限公司	002979.SZ	2019.0	1.0	7.21
松下电器机电(中国)有限公司	002979.SZ	2018.0	5.0	4.32
江苏百优达生命科技有限公司	688198.SH	2018.0	3.0	10.33
江西省水电工程局	000993.SZ	2017.0	5.0	2.9
江西省水电工程局	000993.SZ	2018.0	5.0	1.78
江西省水电工程局	002305.SZ	2017.0	4.0	4.23
沃尔瓦格涂料(廊坊)有限公司	002662.SZ	2019.0	2.0	6.22
河北万亮建筑劳务开发有限公司	002963.SZ	2018.0	2.0	7.38
河北万亮建筑劳务开发有限公司	002963.SZ	2017.0	5.0	3.97
苏伊士集团	688101.SH	2017.0	1.0	7.53
苏伊士集团	688101.SH	2018.0	4.0	4.82
诺基亚通信系统技术(北京)有限公司	002972.SZ	2017.0	2.0	8.43
陕西书海网络科技有限公司	300364.SZ	2017.0	5.0	3.16
顺城盐品	603077.SH	2017.0	5.0	2.59
